addDmgByCard	Больше урона за каждую карту в колоде, где в названии есть слово VAL
change_deck_ctype_1_true_1	Выберите атаку: в начале каждой битвы она будет в стартовой руке
change_deck_ctype_2_true_1	Выберите навык: в начале каждой битвы он будет в стартовой руке
change_deck_ctype_3_true_1	Выберите талант: в начале каждой битвы он будет в стартовой руке
charm_hint	Повышает получаемый урон. В начале хода уменьшается на 1
charmdouble_hint	Удвоить Очарование
chooseOneRandom3	Выберите 1 из 3 случайных карт для замешивания в стопку добора
cleanse_hint	Снимает отрицательные эффекты
cloud_auto_load	Авто загрузка
cloud_auto_load_hint	Данные загружаются из облака каждый раз при запуске игры
cloud_auto_save	Авто сохранение
cloud_auto_save_hint	Сохранять игру каждый раз, когда открываете карту
cloud_synced	Сохранено в облако
coffee	Кофеин
copy_hand_ctype_2_false	Добавляет копию любой карты (кроме навыка) в вашу руку
copy_hand_ctype_2_false_2	Добавляет 2 копии любой карты (кроме навыка) в вашу руку
copy_hand_ctype_all_false_nextTurn_x3	Выберите карту. На следующий ход вы получите 3 её копии в руку
copy_this_to_draw	Добавляет копию карты в стопку сброса
copy_this_to_hand	Добавляет копию карты в руку
corruption_hint	Все навыки стоят 0. Они сжигаются при розыгрыше
create_rarity_1_x1	Добавляет случайную обычную карту в руку
ctype_hint	Может быть атакой(1), навыком(2), талантом(3), статусом(4), проклятием(5)
deckToDmg1	Наносит 1 урона за каждую карту в стопке добора
deckToEnergy	Получает 1 энергию за каждую VAL карту в стопке добора
discard_all_ctype_all_false_all	Замешивает все карты в стопку добора
discount_by_attacked	Дешевле на 1 каждый раз, когда получаете урон
discount_by_discard	Дешевле на 1 за каждую сброшенную карту на этом ходу
discount_by_played_ctype3	Дешевле на 1 за каждый талант разыгранный в битве
dmgByAttrFromSourceTimes	Наносит урон равный вашей VAL xTIMES раз
dmgByEnemiesCount	Наносит дополнительный урон за каждого противника
dmg_times	Наносит VAL урона TIMES раз
drawPlayExhaust1	Розыгрывает верхнюю карту из стопки добора и сжигает её
drawToDmg1	Наносит 1 урона за каждую карту в стопке сброса
drawUntilX	Вы берёте карты пока не наберёте VAL
drawX	Вы берёте VAL карт
emptychest	Следующий сундук с сокровищами который вы откроете будет пуст (исключая сундук боса)
enlightenment_hint	Уменьшает стоимость карт в руке до 1 на VAL ход
event_cardNone1_1_txt	Выберете обычную бесцветную карту
event_cardNone1_rnd_txt	Получите случайную обычную бесцветную карту
